filename,influencer,non_influencer,category
6822694507797040389,0.9919074471221995,0.00809255287780053,0
6794818258483662086,0.7266448457152549,0.2733551542847453,0
6811661147066928390,0.8739595584461903,0.12604044155380992,0
6822742622893903110,0.6966629826254433,0.30333701737455665,0
7259505958118853931_justicebuys_1690235458,0.9929630943976171,0.007036905602382869,0
6975940059858046214_lopwert_1624212617,0.0838476454867428,0.9161523545132572,1
6899609374478601474_mik.zenon_1606440495,0.9912077339885442,0.008792266011455616,0
7147698077808282923_makeupbypita_1664203169,0.037390861558162194,0.9626091384418377,1
6961907699927747845_stuffyouactuallyneed_1620945455,0.09871031180427824,0.9012896881957216,1
6897636451849112838_teresalauracaruso_1605981174,0.9892464442464909,0.01075355575350903,0
7350801361019096362_claugonzalez_official_1711491837,0.9942258568980111,0.0057741431019888685,0
7212769061460184366_andreja.elena_1679353674,0.10447793713692385,0.8955220628630765,1
7257908886840167726_emburnette_1689863609,4.5145468285471704e-07,0.9999995485453171,1
7144832760090217771_gabriela.vlogs_1663536023,0.14165479277206158,0.8583452072279384,1
6975329213779954950_heartdefensor_1624070395,0.0066285067722611345,0.9933714932277388,1
7058546692563455234__tusya_kiskis_1643445970,0.0262010425319326,0.9737989574680675,1
7220139400783465733_eny4a_1681069706,0.09335707832237503,0.9066429216776251,1
7049930660726983983_simplysalfinds_1641439895,0.9965917901539667,0.003408209846033304,0
6993401583690206470_chateaublanche_1628278193,0.04778087804107207,0.952219121958928,1
7231254478421282074_tobesfinds_1683657643,0.9918976205299064,0.00810237947009349,0
7286126097421405483_glenxda_1696433451,0.01391146201271359,0.9860885379872867,1
7027448660333956357_garrisonmeek_1636205396,1.0348610825336337e-05,0.9999896513891747,1
7178967057709550849_kunchaaiii_1671483541,0.004646798784847374,0.9953532012151527,1
7347444193515818286_whisperfillies_1710710188,1.6336939896820652e-05,0.9999836630601032,1
6860299083349806341_heartdefensor_1597287859,0.23956282426776346,0.7604371757322366,1
6890346072661626117_arianalucidonio_1604283744,0.9929084853104327,0.007091514689567295,0
6982377509648092421_heartdefensor_1625711455,0.030472049965406044,0.9695279500345937,1
7310344854129642757_sam.shan.shops_1702072301,0.9975654198176943,0.002434580182305755,0
7366659432610024747_glenxda_1715184076,0.006571710691933771,0.9934282893080665,1
7064010203603356975_heartdefensor_1644718043,0.011919796866130525,0.9880802031338696,1
6813091851957046534_layallure_1586296564,0.4617683577687211,0.5382316422312791,0
7203167401305754886_its_jabent_1677118108,0.17171496995657554,0.8282850300434247,1
7232370620837727530_natalies.smith_1683917536,0.05386902060171701,0.9461309793982833,1
7040173254186634501_lucymassad_1639168071,0.928188769317529,0.0718112306824711,0
6834331690282831110_toponlinefinds_1591241851,0.9981076554876531,0.0018923445123468791,0
7143391067323387182_nalae.co_1663200354,0.823138953747789,0.1768610462522108,0
7228957130441755931_herios.co.uk_1683122749,4.628816709952056e-06,0.99999537118329,1
7158944713012251950_teachingwithmsd_1666821715,0.033556921376753125,0.966443078623247,1
7118086870155971886_kaelimaee_1657308751,0.0026544382625621086,0.9973455617374379,1
7236885066616442155_bordanjillings_1684968615,0.5280477340428762,0.47195226595712375,0
7371949051522370862,0.012277453404102953,0.9877225465958971,1
7367476378096209195,0.7319493573820808,0.26805064261791917,0
7367065541300849962,0.42421158186685776,0.5757884181331422,0
7370812998258068778,0.2940392476840611,0.7059607523159388,1
7366718783014128939,0.42713822295445275,0.5728617770455472,0
7366358387824626987,0.0372851278404065,0.9627148721595934,1
7368971124085968171,0.3802105120298606,0.6197894879701394,1
7369405756812168490,0.8844265148269098,0.1155734851730903,0
7366482419240684843,0.04522349227022429,0.9547765077297758,1
7368639865606376750,0.48289601092815637,0.5171039890718436,0
7370062099373952298,0.5799321964679502,0.42006780353204975,0
7370426645578124586,0.950629923062554,0.049370076937446,0
7368207501084413227,0.12443179487260084,0.8755682051273993,1
7371554855921470766,0.3450456915377171,0.6549543084622829,1
7365989486343245098,0.1917435129996933,0.8082564870003067,1
7369631430684511530,0.028071936272630348,0.9719280637273697,1
7367920534711029035,0.3115261069544394,0.6884738930455606,1
7365336902183980331,0.1444326957939855,0.8555673042060146,1
7371158344582565163,0.07760325045461783,0.9223967495453823,1
7365630569985658154,0.17283069496642478,0.8271693050335753,1
7380389064479886623,0.5432876094291296,0.4567123905708704,0
7384163610227903774,0.8739301093147792,0.12606989068522095,0
7381635985609657630,0.9872081386197216,0.012791861380278382,0
7038411139931278598,0.9334534111189932,0.06654658888100697,0
7379784629701594414,0.9523567621958553,0.04764323780414477,0
7379384217614159150,0.9522491275128053,0.04775087248719451,0
7377539164281015594,0.5,0.5,0
7381990080363138334,0.8506449440454121,0.14935505595458778,0
7379461225106771243,0.9940797189565725,0.005920281043427465,0
7077545446637440299,0.03760256847100447,0.9623974315289956,1
7379629763830353195,0.42827927840837937,0.5717207215916206,0
7037108757741980933,0.855405012213747,0.14459498778625302,0
7384486335580572959,0.9341532286822041,0.06584677131779583,0
7383147829293894943,0.9273766340661459,0.07262336593385431,0
7382773180017986847,0.3521171018049259,0.647882898195074,1
7384575534681918751,0.7305796989282749,0.269420301071725,0
7380155133021277483,0.9836390776851551,0.016360922314844942,0
7380515279836564766,0.9440796940552917,0.05592030594470833,0
7380115322059263278,0.8672081138990985,0.13279188610090178,0
7384581824707661086,0.41998633676529207,0.580013663234708,0
NPR5286781925,0.7721798188220502,0.22782018117794997,0
7214983125909130539,0.06075249348755302,0.939247506512447,1
7274617537231342891,0.07287524329976634,0.9271247567002339,1
7251758722911849771,0.9829055917494817,0.017094408250518313,0
7188995326966074666,0.24823507239451803,0.7517649276054821,1
6983995882907634949,0.9148512627769653,0.08514873722303469,0
7302853217405226272,0.970351979629129,0.029648020370871088,0
7169296646143003946,0.07513457632210381,0.9248654236778961,1
7212576931223522565,0.9111372792886738,0.08886272071132591,0
7206077525858995499,0.04967208096066188,0.950327919039338,1
7268344862683024682,0.10973029385954039,0.8902697061404596,1
6841361727989337349,0.9572626099795883,0.04273739002041158,0
6884350493737405701,0.9875920176532211,0.012407982346778965,0
6904379047493504262,0.99245083192289,0.0075491680771100226,0
7363665666995539206,0.1003626709007933,0.8996373290992068,1
6963464985787813126,0.005766286107046115,0.9942337138929538,1
7356657695170006278,0.003875963459190404,0.9961240365408096,1
7069277965665717547,0.009776620061122525,0.9902233799388777,1
7110996575568153898,0.4240430655214674,0.5759569344785327,0
7168422418480893230,0.014924141140575387,0.9850758588594246,1
7125350350713883950,0.09742903099619649,0.9025709690038036,1
6804410092385996038,0.028763392102515606,0.9712366078974842,1
6841690302911155462,0.738411599220642,0.26158840077935797,0
7203882761931803947,0.9933952985725081,0.006604701427491939,0
7264730735444053290,0.9722611209232511,0.02773887907674901,0
6822694507797040389,0.9919074471221995,0.00809255287780053,0
7046889698278509870,0.02009815875488597,0.9799018412451137,1
7246130794316516634,0.9335838367794981,0.06641616322050178,0
7086348119192931590,0.02758871494854977,0.9724112850514505,1
7058756853429341486,0.9960693926460052,0.003930607353994814,0
7064010203603356975,0.011919796866130525,0.9880802031338696,1
7294060060580285702,0.99820744751018,0.0017925524898198513,0
7000926248541228293,0.013959317166852314,0.9860406828331474,1
7046098049415875846,0.6668526308573168,0.33314736914268317,0
7251646397949218054,7.725239252157384e-06,0.9999922747607478,1
7275018419949407521,0.9828134962792838,0.017186503720716246,0
7354506325298171182,0.04158857310218048,0.9584114268978196,1
7117436460256529707,0.9851172695414059,0.014882730458594121,0
7280445855784504622,0.004285646779746919,0.995714353220253,1
7128797370938068266,0.18499687317753896,0.8150031268224608,1
7236601448266534186,0.9997734362409225,0.00022656375907754644,0
6850140742698962181,0.9997887056935056,0.000211294306494422,0
7192334670749617450,0.057193980424255296,0.9428060195757447,1
6986380981796113669,0.8792211921768995,0.12077880782310019,0
6867586264753868038,0.6174518470113612,0.3825481529886387,0
6983408519240273157,0.06435813087496224,0.9356418691250377,1
7143016096965299502,0.9982725618102058,0.0017274381897941637,0
7141193172570492187,0.17901848344928906,0.8209815165507109,1
7183774279954205994,0.5568264620615837,0.44317353793841635,0
7173009734352637227,0.14846112258139657,0.8515388774186033,1
7119927802496929070,0.671150646488012,0.3288493535119881,0
7214983125909130539,0.06075249348755302,0.939247506512447,1
7274617537231342891,0.07287524329976634,0.9271247567002339,1
7251758722911849771,0.9829055917494817,0.017094408250518313,0
7208283360760974638,0.004479706596945295,0.9955202934030548,1
7188995326966074666,0.24823507239451803,0.7517649276054821,1
6983995882907634949,0.9148512627769653,0.08514873722303469,0
7302853217405226272,0.970351979629129,0.029648020370871088,0
7169296646143003946,0.07513457632210381,0.9248654236778961,1
7212576931223522565,0.9111372792886738,0.08886272071132591,0
7206077525858995499,0.04967208096066188,0.950327919039338,1
7268344862683024682,0.10973029385954039,0.8902697061404596,1
6841361727989337349,0.9572626099795883,0.04273739002041158,0
6884350493737405701,0.9875920176532211,0.012407982346778965,0
6904379047493504262,0.99245083192289,0.0075491680771100226,0
7363665666995539206,0.1003626709007933,0.8996373290992068,1
6963464985787813126,0.005766286107046115,0.9942337138929538,1
7356657695170006278,0.003875963459190404,0.9961240365408096,1
7069277965665717547,0.009776620061122525,0.9902233799388777,1
7110996575568153898,0.4240430655214674,0.5759569344785327,0
7168422418480893230,0.014924141140575387,0.9850758588594246,1
7125350350713883950,0.09742903099619649,0.9025709690038036,1
6804410092385996038,0.028763392102515606,0.9712366078974842,1
6841690302911155462,0.738411599220642,0.26158840077935797,0
7203882761931803947,0.9933952985725081,0.006604701427491939,0
7264730735444053290,0.9722611209232511,0.02773887907674901,0
6822694507797040389,0.9919074471221995,0.00809255287780053,0
7046889698278509870,0.02009815875488597,0.9799018412451137,1
7086348119192931590,0.02758871494854977,0.9724112850514505,1
7058756853429341486,0.9960693926460052,0.003930607353994814,0
7064010203603356975,0.011919796866130525,0.9880802031338696,1
7294060060580285702,0.99820744751018,0.0017925524898198513,0
7000926248541228293,0.013959317166852314,0.9860406828331474,1
7046098049415875846,0.6668526308573168,0.33314736914268317,0
7251646397949218054,7.725239252157384e-06,0.9999922747607478,1
7275018419949407521,0.9828134962792838,0.017186503720716246,0
7354506325298171182,0.04158857310218048,0.9584114268978196,1
7117436460256529707,0.9851172695414059,0.014882730458594121,0
7280445855784504622,0.004285646779746919,0.995714353220253,1
7128797370938068266,0.18499687317753896,0.8150031268224608,1
6986380981796113669,0.8792211921768995,0.12077880782310019,0
6867586264753868038,0.6174518470113612,0.3825481529886387,0
6983408519240273157,0.06435813087496224,0.9356418691250377,1
7143016096965299502,0.9982725618102058,0.0017274381897941637,0
7141193172570492187,0.17901848344928906,0.8209815165507109,1
7264730735444053290,0.9722611209232511,0.02773887907674901,0
7064010203603356975,0.011919796866130525,0.9880802031338696,1
7364465269600685354,0.5578840897309927,0.44211591026900726,0
7173009734352637227,0.14846112258139657,0.8515388774186033,1
7245343755899866394,0.024685160581417197,0.9753148394185828,1
7344798824931593515,0.9943790859017347,0.005620914098265233,0
7167090383703379243,0.11968993824863035,0.8803100617513695,1
7190023130113396010,0.8291687566468704,0.17083124335312946,0
7305801255937494303,0.9847096069145386,0.015290393085461493,0
7375169760830541061,2.8595224242923153e-07,0.9999997140477577,1
7311679867735543048,0.4663218949758514,0.5336781050241485,0
7219327568930065710,0.9734710551343665,0.02652894486563343,0
7343726038238645510,0.99935862349839,0.000641376501610131,0
7351976317912501535,0.9999140364911131,8.596350888704466e-05,0
7231254478421282074,0.9918976205299064,0.00810237947009349,0
7376639707112885547,0.9999513238558675,4.8676144132616296e-05,0
7225198231125380378,0.9999996334381441,3.665618557883201e-07,0
7364177158094277930,0.991127489671226,0.00887251032877411,0
7192969523014782250,0.9854226842680786,0.01457731573192135,0
7192409907260362027,0.8349585198277022,0.165041480172298,0
7184130307589688618,0.15742715994797257,0.8425728400520274,1
7206720782423084331,0.6669042553190562,0.3330957446809438,0
7216794000404106539,0.953510006604437,0.04648999339556306,0
7304365528850713861,0.9958462477551205,0.004153752244879325,0
7268460127760518443,0.8957152631349374,0.10428473686506261,0
7371609462110653742,0.9999632594315685,3.674056843144389e-05,0
7270187574407269674,0.9878191430156215,0.012180856984378482,0
7372557278177791275,0.999688782798453,0.0003112172015468994,0
7188706301956951339,0.9982014501154671,0.0017985498845328198,0
7194993961566571818,0.9967920788520852,0.0032079211479147506,0
7327012839904824609,0.992921896338776,0.007078103661223887,0
6961907699927747845,0.09871031180427824,0.9012896881957216,1
7371500997954342175,0.2545187033092782,0.7454812966907216,1
7327639836720925958,0.8186159331925507,0.18138406680744926,0
7259505958118853931,0.9929630943976171,0.007036905602382869,0
7373396453684858158,0.9881602579350961,0.011839742064903949,0
6897636451849112838,0.9892464442464909,0.01075355575350903,0
7198237290143943982,0.8694491467810272,0.13055085321897264,0
7384857140638387499,0.9995673251898536,0.0004326748101464584,0
7345543103786274090,0.9842042615776359,0.015795738422364054,0
7059155724580539694,0.989708929927467,0.010291070072532956,0
7239504681792392494,0.9991915776050562,0.0008084223949437598,0
7356101527368404266,0.009687982015748792,0.9903120179842512,1
7239528506890161414,0.9999962083870825,3.7916129175818633e-06,0
7356651876496051498,0.07232702543561255,0.9276729745643875,1
7183419329591987499,0.9992844331940663,0.0007155668059335415,0
7365252158331047210,0.014938099664232606,0.9850619003357673,1
7241324979311201579,0.9875077956621362,0.012492204337863891,0
7105110047625170222,0.9819528081393769,0.018047191860623167,0
